,0
0,738
1,157
2,571
3,707
4,714
5,714
6,798
7,799
8,798
9,798
10,798
11,798
12,714
13,714
14,571
15,339
16,385
17,541
18,516
19,142
20,188
21,770
22,210
23,142
24,498
25,543
26,214
27,537
28,113
29,462
30,541
31,484
32,1
33,744
34,484
35,484
36,484
37,339
38,339
39,339
40,158
41,318
42,158
43,616
44,58
45,145
46,448
47,448
48,351
49,349
50,760
51,349
52,170
53,648
54,351
55,761
56,490
57,543
58,215
59,646
60,596
61,399
62,793
63,793
64,353
65,793
66,44
67,342
68,608
69,351
70,490
71,101
72,760
73,355
74,448
75,259
76,94
77,744
78,744
79,188
80,188
81,573
82,573
83,277
84,277
85,546
86,494
87,674
88,694
89,743
90,285
91,142
92,285
93,475
94,73
95,631
96,694
97,765
98,142
99,113
100,213
101,92
102,694
103,542
104,257
105,524
106,368
107,368
108,115
109,115
110,756
111,389
112,54
113,495
114,463
115,194
116,351
117,558
118,194
119,353
120,541
121,726
122,355
123,355
124,355
125,490
126,25
127,646
128,646
129,558
130,277
131,277
132,759
133,548
134,194
135,790
136,399
137,390
138,215
139,558
140,216
141,113
142,111
143,100
144,215
145,100
146,8
147,113
148,734
149,312
150,674
151,110
152,646
153,646
154,448
155,215
156,463
157,758
158,242
159,558
160,438
161,438
162,438
163,438
164,340
165,21
166,151
167,151
168,631
169,726
170,330
171,194
172,715
173,715
174,83
175,349
176,361
177,351
178,351
179,351
180,351
181,351
182,276
183,242
184,617
185,617
186,175
187,790
188,790
189,351
190,351
191,351
192,351
193,351
194,351
195,351
196,355
197,313
198,351
199,558
200,563
201,146
202,479
203,740
204,744
205,110
206,559
207,558
208,559
209,646
210,206
211,206
212,179
213,646
214,646
215,646
216,646
217,703
218,368
219,462
220,385
221,574
222,703
223,703
224,398
225,398
226,505
227,505
228,344
229,438
230,438
231,687
232,687
233,687
234,368
235,703
236,703
237,521
238,285
239,285
240,395
241,543
242,635
243,259
244,259
245,558
246,558
247,558
248,684
249,291
250,197
251,694
252,756
253,694
254,694
255,694
256,573
257,183
258,183
259,613
260,667
261,677
262,677
263,677
264,493
265,524
266,175
267,175
268,175
269,660
270,760
271,113
272,342
273,342
274,342
275,87
276,175
277,476
278,726
279,351
280,758
281,215
282,385
283,558
284,558
285,558
286,215
287,543
288,543
289,543
290,398
291,83
292,83
293,558
